dataset,client_count,attacker_count,cohort_mode,variant,trust_estimator,attack_scenario,noniid_alpha,repeat,stage,attacker_fraction,normal_nodes,target_initial_limited_rate,target_initial_admitted_rate,normal_initial_admitted_rate,target_onboarding_seconds_mean,normal_onboarding_seconds_mean,target_returned_updates_after_start,target_aggregated_updates_after_start,target_effective_aggregation_share_after_start,target_rffl_removals,normal_rffl_removals,update_payload_bytes,server_processing_seconds,configuration_runtime_seconds,controller_state_bytes,final_accuracy,final_backdoor_asr,total_rounds,target_full_access_round_mean,target_promoted_rate,target_effective_aggregation_share_early,target_effective_aggregation_share_late,backdoor_asr_auc_after_start,backdoor_asr_at_round_8,backdoor_asr_growth_round_8_to_final,first_round_asr_ge_10pct,first_round_asr_ge_20pct,first_round_asr_ge_30pct,target_effective_aggregation_share_sustained,target_limited_returned_update_rate_after_start,target_full_weight_aggregated_update_rate_after_start,target_lease_expirations,target_lease_renewals,normal_lease_expirations
fashion_mnist,20,2,mixed_maturity,access_no_limited,dirichlet_lcb,benign_concept_drift,0.5,0,formal,0.1,18,0.0,1.0,1.0,2.9338014125823975,9.840589563051859,98,98,0.08246666164933325,0,0,31400000,39.07290508999999,193.2030966,8412927,0.8374,0.010444444444444444,50,1.0,1.0,0.08246666164933321,0.08246666164933326,0.012263888888888885,0.009555555555555555,0.0008888888888888887,nan,nan,nan,0.08246666164933324,0.0,1.0,0,0,0
fashion_mnist,20,2,mixed_maturity,access_no_limited,dirichlet_lcb,benign_concept_drift,0.5,1,formal,0.1,18,0.0,1.0,1.0,2.7001909017562866,14.471510661972893,98,98,0.14206666857933367,0,0,31400000,39.98104527000001,162.7585493,8330959,0.8424,0.029111111111111112,50,1.0,1.0,0.1420666685793334,0.14206666857933384,0.021891203703703708,0.019333333333333334,0.009777777777777778,nan,nan,nan,0.14206666857933375,0.0,1.0,0,0,0
fashion_mnist,20,2,mixed_maturity,access_no_limited,dirichlet_lcb,benign_concept_drift,0.5,2,formal,0.1,18,0.0,1.0,1.0,2.3237109184265137,16.097033765580917,98,98,0.09446666811066681,0,0,31400000,39.96247026999999,168.3873163,8330983,0.8364,0.01622222222222222,50,1.0,1.0,0.09446666811066662,0.09446666811066676,0.019671296296296294,0.016888888888888887,-0.0006666666666666661,nan,nan,nan,0.09446666811066672,0.0,1.0,0,0,0
fashion_mnist,20,2,mixed_maturity,access_no_limited,dirichlet_lcb,benign_concept_drift,0.5,3,formal,0.1,18,0.0,1.0,1.0,2.995169997215271,14.6829993724823,98,98,0.13084999869149944,0,0,31400000,38.71278135,161.9379302,8335055,0.8276,0.013777777777777778,50,1.0,1.0,0.13084999869150002,0.13084999869149913,0.020752314814814814,0.018222222222222223,-0.004444444444444445,nan,nan,nan,0.1308499986914993,0.0,1.0,0,0,0
fashion_mnist,20,2,mixed_maturity,access_no_limited,dirichlet_lcb,benign_concept_drift,0.5,4,formal,0.1,18,0.0,1.0,1.0,3.362303853034973,11.062166213989258,98,98,0.06925000069250033,0,0,31400000,38.78324147999999,162.270548,8318719,0.8342,0.022222222222222223,50,1.0,1.0,0.0692500006925,0.0692500006925004,0.023689814814814813,0.03133333333333333,-0.009111111111111108,nan,nan,nan,0.0692500006925003,0.0,1.0,0,0,0
fashion_mnist,20,2,mixed_maturity,access_no_limited,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,0,formal,0.1,18,0.0,1.0,1.0,3.2205008268356323,9.529149691263834,98,98,0.08246666164933325,0,0,31400000,40.977140300000016,198.7480016,8314575,0.8416,0.7328888888888889,50,1.0,1.0,0.08246666164933321,0.08246666164933326,0.45696064814814813,0.13466666666666666,0.5982222222222222,6.0,12.0,14.0,0.08246666164933325,0.0,1.0,0,0,0
fashion_mnist,20,2,mixed_maturity,access_no_limited,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,1,formal,0.1,18,0.0,1.0,1.0,3.102406144142151,14.40424316459232,98,98,0.14206666857933367,0,0,31400000,38.81179440999998,157.6153023,8433407,0.8354,0.926,50,1.0,1.0,0.14206666857933334,0.1420666685793338,0.7042546296296296,0.378,0.548,3.0,6.0,7.0,0.14206666857933375,0.0,1.0,0,0,0
fashion_mnist,20,2,mixed_maturity,access_no_limited,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,2,formal,0.1,18,0.0,1.0,1.0,2.7297946214675903,16.276532941394382,98,98,0.09446666811066684,0,0,31400000,38.763224740000005,162.3971262,8355583,0.8388,0.7904444444444444,50,1.0,1.0,0.09446666811066662,0.09446666811066676,0.5485208333333335,0.182,0.6084444444444443,5.0,10.0,12.0,0.09446666811066672,0.0,1.0,0,0,0
fashion_mnist,20,2,mixed_maturity,access_no_limited,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,3,formal,0.1,18,0.0,1.0,1.0,2.454797863960266,14.693312803904215,98,98,0.1308499986914994,0,0,31400000,38.59706468999999,162.3349954,8433407,0.8302,0.8648888888888889,50,1.0,1.0,0.13084999869150002,0.13084999869149913,0.6581273148148147,0.3342222222222222,0.5306666666666667,4.0,6.0,8.0,0.1308499986914993,0.0,1.0,0,0,0
fashion_mnist,20,2,mixed_maturity,access_no_limited,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,4,formal,0.1,18,0.0,1.0,1.0,2.478707194328308,11.131230857637194,98,98,0.06925000069250033,0,0,31400000,40.75312436000001,162.9124635,8326887,0.8354,0.6904444444444444,50,1.0,1.0,0.06925000069250001,0.06925000069250041,0.4340648148148149,0.17377777777777778,0.5166666666666666,5.0,11.0,16.0,0.06925000069250029,0.0,1.0,0,0,0
