dataset,client_count,attacker_count,cohort_mode,variant,trust_estimator,attack_scenario,noniid_alpha,repeat,round,accuracy,backdoor_asr,target_effective_aggregation_share,target_returned_updates,target_aggregated_updates,target_observed_node_rate,target_limited_rate,target_admitted_rate,target_rffl_removals,target_lease_expirations,target_lease_renewals
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,2,3,0.8172,0.01911111111111111,0.049574917964175666,2,2,1.0,1.0,0.0,0,0,0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,2,4,0.814,0.018,0.04957491796417566,2,2,1.0,1.0,0.0,0,0,0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,2,5,0.8246,0.025555555555555557,0.09446666811066665,2,2,1.0,0.0,1.0,0,0,0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,2,6,0.8242,0.018444444444444444,0.09446666811066663,2,2,1.0,0.0,1.0,0,0,0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,2,7,0.82,0.019333333333333334,0.09446666811066665,2,2,1.0,0.0,1.0,0,0,0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,2,8,0.8196,0.016888888888888887,0.09446666811066663,2,2,1.0,0.0,1.0,0,0,0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,2,9,0.82,0.012888888888888889,0.09446666811066665,2,2,1.0,0.0,1.0,0,0,0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,2,10,0.8266,0.017777777777777778,0.049574917964175666,2,2,1.0,1.0,0.0,0,2,0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,2,11,0.8352,0.018,0.049574917964175666,2,2,1.0,1.0,0.0,0,0,0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,2,12,0.8284,0.01911111111111111,0.049574917964175666,2,2,1.0,1.0,0.0,0,0,0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,2,13,0.8308,0.016444444444444446,0.049574917964175666,2,2,1.0,1.0,0.0,0,0,0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,2,14,0.8338,0.015555555555555555,0.049574917964175666,2,2,1.0,1.0,0.0,0,0,0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,2,15,0.8322,0.01577777777777778,0.09446666811066665,2,2,1.0,0.0,1.0,0,0,2
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,2,16,0.8332,0.017333333333333333,0.09446666811066665,2,2,1.0,0.0,1.0,0,0,0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,2,17,0.837,0.02822222222222222,0.09446666811066663,2,2,1.0,0.0,1.0,0,0,0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,2,18,0.8326,0.016666666666666666,0.09446666811066663,2,2,1.0,0.0,1.0,0,0,0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,2,19,0.8358,0.03333333333333333,0.09446666811066665,2,2,1.0,0.0,1.0,0,0,0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,2,20,0.8356,0.01911111111111111,0.04957491796417567,2,2,1.0,1.0,0.0,0,2,0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,2,21,0.8346,0.019777777777777776,0.049574917964175666,2,2,1.0,1.0,0.0,0,0,0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,2,22,0.8416,0.022444444444444444,0.049574917964175666,2,2,1.0,1.0,0.0,0,0,0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,2,23,0.8404,0.021333333333333333,0.049574917964175666,2,2,1.0,1.0,0.0,0,0,0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,2,24,0.8368,0.019555555555555555,0.049574917964175666,2,2,1.0,1.0,0.0,0,0,0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,2,25,0.8338,0.01911111111111111,0.09446666811066665,2,2,1.0,0.0,1.0,0,0,2
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,2,26,0.8302,0.015333333333333332,0.09446666811066665,2,2,1.0,0.0,1.0,0,0,0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,2,27,0.8428,0.018666666666666668,0.09446666811066665,2,2,1.0,0.0,1.0,0,0,0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,2,28,0.8318,0.013777777777777778,0.09446666811066665,2,2,1.0,0.0,1.0,0,0,0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,2,29,0.8376,0.02022222222222222,0.09446666811066665,2,2,1.0,0.0,1.0,0,0,0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,2,30,0.8364,0.014444444444444444,0.049574917964175666,2,2,1.0,1.0,0.0,0,2,0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,2,31,0.8426,0.015333333333333332,0.04957491796417566,2,2,1.0,1.0,0.0,0,0,0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,2,32,0.8438,0.021333333333333333,0.049574917964175666,2,2,1.0,1.0,0.0,0,0,0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,2,33,0.8422,0.021111111111111112,0.049574917964175666,2,2,1.0,1.0,0.0,0,0,0
