dataset,client_count,attacker_count,cohort_mode,variant,trust_estimator,attack_scenario,noniid_alpha,round,independent_runs,accuracy_mean,accuracy_ci95,backdoor_asr_mean,backdoor_asr_ci95,target_effective_aggregation_share_mean,target_effective_aggregation_share_ci95,target_returned_updates_mean,target_returned_updates_ci95,target_aggregated_updates_mean,target_aggregated_updates_ci95,target_observed_node_rate_mean,target_observed_node_rate_ci95,target_limited_rate_mean,target_limited_rate_ci95,target_admitted_rate_mean,target_admitted_rate_ci95,target_rffl_removals_mean,target_rffl_removals_ci95,target_lease_expirations_mean,target_lease_expirations_ci95,target_lease_renewals_mean,target_lease_renewals_ci95
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,39,5,0.8307599999999999,0.01248523867262016,0.020666666666666667,0.0071978972037646865,0.10381999954466666,0.038929499162602875,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,40,5,0.8371600000000001,0.007957119231656106,0.023644444444444447,0.008532742763029148,0.0549836848768509,0.021731251187029656,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,41,5,0.83432,0.007215766636217588,0.017866666666666666,0.009770250707790919,0.0549836848768509,0.021731251187029666,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,42,5,0.8310000000000001,0.007119836054870542,0.017377777777777777,0.006308379696544187,0.054983684876850916,0.021731251187029663,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,43,5,0.8309599999999999,0.0063298077254768095,0.017955555555555554,0.005251287528246793,0.05498368487685089,0.02173125118702965,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,44,5,0.8349599999999999,0.004519384052036236,0.019555555555555555,0.01213444199838814,0.0549836848768509,0.021731251187029663,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,45,5,0.83552,0.002372845565383036,0.020755555555555555,0.008088425340732739,0.10381999954466663,0.03892949916260288,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,46,5,0.8374400000000002,0.0035137116716312997,0.021244444444444444,0.003449618468202001,0.10381999954466663,0.03892949916260289,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,47,5,0.8314,0.0029225299560093594,0.021555555555555557,0.011620027922548008,0.10381999954466666,0.038929499162602875,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,48,5,0.8355599999999999,0.008434911513923726,0.01844444444444444,0.00993331198563011,0.10381999954466666,0.03892949916260288,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
