"dataset","client_count","attacker_count","cohort_mode","variant","trust_estimator","attack_scenario","noniid_alpha","repeat","attack_start_round","limited_clean_updates","limited_observation_updates","limited_aggregation_weight","access_lease_full_updates","max_probation_tasks","min_probation_completed_tasks","min_evidence_mass","round","loss","accuracy","backdoor_asr"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","2","5","5","0.5","5","20","9","1.5","40","6.258609771728516","0.335","0.22777777777777777"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","2","5","5","0.5","5","20","9","1.5","41","6.781698226928711","0.3325","0.06111111111111111"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","2","5","5","0.5","5","20","9","1.5","42","6.664605617523193","0.341","0.0077777777777777776"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","2","5","5","0.5","5","20","9","1.5","43","6.880517959594727","0.337","0.012222222222222223"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","2","5","5","0.5","5","20","9","1.5","44","7.434566974639893","0.3215","0.19777777777777777"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","2","5","5","0.5","5","20","9","1.5","45","8.05329704284668","0.3015","0.08333333333333333"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","2","5","5","0.5","5","20","9","1.5","46","6.456670761108398","0.3475","0.06444444444444444"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","2","5","5","0.5","5","20","9","1.5","47","5.595301628112793","0.3705","0.12777777777777777"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","2","5","5","0.5","5","20","9","1.5","48","6.234653472900391","0.3565","0.10833333333333334"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","2","5","5","0.5","5","20","9","1.5","49","6.60050630569458","0.3365","0.06166666666666667"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","2","5","5","0.5","5","20","9","1.5","50","6.881860256195068","0.335","0.33444444444444443"
