dataset,client_count,attacker_count,cohort_mode,variant,trust_estimator,attack_scenario,noniid_alpha,repeat,legitimate_newcomer_case,newcomer_count,incumbent_count,newcomer_initial_training_eligible_rate,newcomer_initial_limited_rate,newcomer_completed_tasks_mean,newcomer_onboarding_seconds_mean,incumbent_initial_training_eligible_rate,newcomer_full_access_before_attack_rate,newcomer_first_full_access_round_max
cifar10,20,2,mixed_maturity,access_full,dirichlet_lcb,benign_concept_drift,10,8,1,2,18,1.0,1.0,9.0,2.9992202520370483,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_full,dirichlet_lcb,benign_concept_drift,10,9,1,2,18,1.0,1.0,9.0,2.7455973625183105,1.0,1.0,5
cifar10,20,2,mixed_maturity,rffl_reputation,dirichlet_lcb,diverse_then_repeat_backdoor,10,0,0,2,18,1.0,0.0,9.0,3.4537265300750732,1.0,1.0,1
cifar10,20,2,mixed_maturity,rffl_reputation,dirichlet_lcb,diverse_then_repeat_backdoor,10,1,0,2,18,1.0,0.0,9.0,2.6697269678115845,1.0,1.0,1
cifar10,20,2,mixed_maturity,rffl_reputation,dirichlet_lcb,diverse_then_repeat_backdoor,10,2,0,2,18,1.0,0.0,9.0,2.9295533895492554,1.0,1.0,1
cifar10,20,2,mixed_maturity,rffl_reputation,dirichlet_lcb,diverse_then_repeat_backdoor,10,3,0,2,18,1.0,0.0,9.0,2.8920763731002808,1.0,1.0,1
cifar10,20,2,mixed_maturity,rffl_reputation,dirichlet_lcb,diverse_then_repeat_backdoor,10,4,0,2,18,1.0,0.0,9.0,3.293887734413147,1.0,1.0,1
cifar10,20,2,mixed_maturity,rffl_reputation,dirichlet_lcb,diverse_then_repeat_backdoor,10,5,0,2,18,1.0,0.0,9.0,2.9361302852630615,1.0,1.0,1
cifar10,20,2,mixed_maturity,rffl_reputation,dirichlet_lcb,diverse_then_repeat_backdoor,10,6,0,2,18,1.0,0.0,9.0,2.944020986557007,1.0,1.0,1
cifar10,20,2,mixed_maturity,rffl_reputation,dirichlet_lcb,diverse_then_repeat_backdoor,10,7,0,2,18,1.0,0.0,9.0,3.6210949420928955,1.0,1.0,1
cifar10,20,2,mixed_maturity,rffl_reputation,dirichlet_lcb,diverse_then_repeat_backdoor,10,8,0,2,18,1.0,0.0,9.0,3.5291048288345337,1.0,1.0,1
cifar10,20,2,mixed_maturity,rffl_reputation,dirichlet_lcb,diverse_then_repeat_backdoor,10,9,0,2,18,1.0,0.0,9.0,3.4682379961013794,1.0,1.0,1
cifar10,20,2,mixed_maturity,rffl_reputation,dirichlet_lcb,benign_concept_drift,10,0,1,2,18,1.0,0.0,9.0,2.750277876853943,1.0,1.0,1
cifar10,20,2,mixed_maturity,rffl_reputation,dirichlet_lcb,benign_concept_drift,10,1,1,2,18,1.0,0.0,9.0,3.5329869985580444,1.0,1.0,1
cifar10,20,2,mixed_maturity,rffl_reputation,dirichlet_lcb,benign_concept_drift,10,2,1,2,18,1.0,0.0,9.0,2.5319913625717163,1.0,1.0,1
cifar10,20,2,mixed_maturity,rffl_reputation,dirichlet_lcb,benign_concept_drift,10,3,1,2,18,1.0,0.0,9.0,2.8317015171051025,1.0,1.0,1
cifar10,20,2,mixed_maturity,rffl_reputation,dirichlet_lcb,benign_concept_drift,10,4,1,2,18,1.0,0.0,9.0,2.6405848264694214,1.0,1.0,1
cifar10,20,2,mixed_maturity,rffl_reputation,dirichlet_lcb,benign_concept_drift,10,5,1,2,18,1.0,0.0,9.0,3.0339388847351074,1.0,1.0,1
cifar10,20,2,mixed_maturity,rffl_reputation,dirichlet_lcb,benign_concept_drift,10,6,1,2,18,1.0,0.0,9.0,3.184167742729187,1.0,1.0,1
cifar10,20,2,mixed_maturity,rffl_reputation,dirichlet_lcb,benign_concept_drift,10,7,1,2,18,1.0,0.0,9.0,3.1058989763259888,1.0,1.0,1
cifar10,20,2,mixed_maturity,rffl_reputation,dirichlet_lcb,benign_concept_drift,10,8,1,2,18,1.0,0.0,9.0,2.6657711267471313,1.0,1.0,1
cifar10,20,2,mixed_maturity,rffl_reputation,dirichlet_lcb,benign_concept_drift,10,9,1,2,18,1.0,0.0,9.0,2.883531928062439,1.0,1.0,1
cifar10,10,1,mixed_maturity,access_freshness_lease,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,0,0,1,9,1.0,1.0,9.0,3.194793701171875,1.0,1.0,5
cifar10,10,1,mixed_maturity,access_freshness_lease,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,1,0,1,9,1.0,1.0,9.0,2.4497568607330322,1.0,1.0,5
cifar10,10,1,mixed_maturity,access_freshness_lease,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,2,0,1,9,1.0,1.0,9.0,3.0314671993255615,1.0,1.0,5
cifar10,10,1,mixed_maturity,access_freshness_lease,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,3,0,1,9,1.0,1.0,9.0,2.5181753635406494,1.0,1.0,5
cifar10,10,1,mixed_maturity,access_freshness_lease,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,4,0,1,9,1.0,1.0,9.0,2.567744493484497,1.0,1.0,5
cifar10,10,1,mixed_maturity,access_freshness_lease,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,5,0,1,9,1.0,1.0,9.0,2.471891164779663,1.0,1.0,5
cifar10,10,1,mixed_maturity,access_freshness_lease,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,6,0,1,9,1.0,1.0,9.0,2.4531145095825195,1.0,1.0,5
cifar10,10,1,mixed_maturity,access_freshness_lease,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,7,0,1,9,1.0,1.0,9.0,2.6642138957977295,1.0,1.0,5
cifar10,10,1,mixed_maturity,access_freshness_lease,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,8,0,1,9,1.0,1.0,9.0,2.9042842388153076,1.0,1.0,5
cifar10,10,1,mixed_maturity,access_freshness_lease,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,9,0,1,9,1.0,1.0,9.0,2.8935816287994385,1.0,1.0,5
cifar10,10,1,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,0,1,1,9,1.0,1.0,9.0,2.764594554901123,1.0,1.0,5
cifar10,10,1,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,1,1,1,9,1.0,1.0,9.0,3.0785961151123047,1.0,1.0,5
cifar10,10,1,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,2,1,1,9,1.0,1.0,9.0,2.396293878555298,1.0,1.0,5
cifar10,10,1,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,3,1,1,9,1.0,1.0,9.0,2.8812003135681152,1.0,1.0,5
